State,Fellow,Project Summary,Administering Organisation,Total Project Funding,Project Duration in years
Australian Capital Territory,Dr Rebecca Colvin,"This project aims to discover the potential of social norms to enable energy-producing communities to explore and define a socially acceptable energy transition. By implementing and evaluating a new social norm change intervention in the Upper Hunter region, this project expects to generate new knowledge about what matters most to communities facing transition, and how norms, identities, and networks interact to enable or constrain change. Outcomes include direct input to energy transition planning, enhanced collaboration with policy and civil society, and new international research networks. This should provide significant benefits by helping Australian communities and policy-makers navigate the local impacts of global energy transition.",The Australian National University,"$454,532 ",3
Australian Capital Territory,Assistant Professor Kaitlin Cook,"This project aims to understand the process of energy dissipation in superheavy element fusion reactions. Using state-of-the art facilities unique to Australia, the first detailed measurements of the crucial early stages of these reactions will be made. This is expected to generate significant fundamental knowledge on why some superheavy element fusion reactions succeed, and why others fail. The outcomes are expected to significantly advance the fundamental understanding of nuclear reactions, and provide key guidance to international opportunities to create new superheavy elements and isotopes. Expected benefits include improving cancer treatments, understanding element abundance in the universe and improved safety in nuclear technologies.",The Australian National University,"$438,000 ",3
Australian Capital Territory,Dr Damien Esquerre,"This project aims to study how venom, nature's most powerful weapon, evolves and shapes biodiversity. Using the iconic Australian and New Guinean venomous snakes as a model, this project expects to develop a novel approach to profile venom composition from museum specimens, test competing hypotheses on the evolution of venoms, and test for the association between the evolution of venoms and the evolution of diversity in species richness and morphology. Expected outcomes include the largest venom database for any animal group and a better understanding of how venoms evolve and what role they play in earth’s biodiversity. The generated venom data has potential to be used in future studies to aid in the development of anti-venoms and drugs.",The Australian National University,"$387,373 ",3
Australian Capital Territory,Dr Elise Furlan,"This project aims to revolutionise conservation monitoring by developing environmental DNA tools to rapidly and efficiently extract detailed genetic data on entire populations from a simple environmental sample. This project expects to significantly enhance conservation management by providing critical information on genetic diversity and population health. Expected outcomes include new techniques to collect population genetic information with increased speed and affordability, enhancing the capacity for both industry and government to address conservation questions. This project is likely to provide significant benefits for aquatic conservation, where traditional monitoring proves problematic for many cryptic, elusive or rare species.",University of Canberra,"$438,909 ",3
Australian Capital Territory,Dr Gemma King,"This project aims to discover how contemporary screens represent deafness and how sign language cinema filters Deaf and non-ableist perspectives. Partnering with Deaf Connect and the National Film and Sound Archive, this project expects to provide a transnational, transdisciplinary framework for analysing Deaf language and culture on screen in terms of completeness and empowerment. Expected outcomes include capacity building for emerging Deaf scholars, inclusive innovations in film and language studies and new opportunities for Deaf/hearing dialogue and cohesion. This should lead to diverse benefits such as increased Deaf wellbeing and enhanced capacity to harness screen cultures to support and reflect the diversity of Deaf experience.",The Australian National University,"$465,100 ",3
Australian Capital Territory,Dr Mira Käkönen,"This project focusses on the challenge of repurposing large-scale hydraulic infrastructures to serve climate objectives, and aims to advance understanding of changing entanglements of rivers, infrastructure, and power relations in a time of climate change. It expects to contribute novel insights into water and climate change governance within and beyond the Mekong Region. Bridging political-ecology and infrastructure studies, planned outcomes include conceptual innovations that advance critical studies on river engineering. The project should benefit policy-makers, practitioners and advocacy groups in the Mekong and in Australia seeking to improve interventions and strengthen the coping strategies of vulnerable riverine communities.",The Australian National University,"$455,652 ",3
Australian Capital Territory,Associate Professor Aparna Lal,"This project seeks to strengthen our understanding of the role of environmental change in driving patterns of community risk, by building a spatially and temporally explicit model, and a risk index that will be designed with input from decision makers. This project expects to improve the implementation of geospatial tools for risk assessment using an innovative approach based on evidence and practice. Expected outcomes include increased and optimal implementation of geospatial data in Australian systems, and enhanced research capacity to proactively respond to environmental change.",The Australian National University,"$441,935 ",3
Australian Capital Territory,Dr Galina Levitina,"Estimates on eigenvalues of integral operators are at the core of numerous results in the study of quantum phenomena and in associated mathematical fields. This project aims to establish detailed spectral properties of the integral operators arising in quantum models incorporating magnetic fields. An anticipated goal is the generation of new and significant theoretical results in analysis that will open novel approaches to the use of magnetic differential operators. This is expected to benefit Australian science by invigorating collaboration between mathematics and theoretical physics, by providing research training relevant to emerging quantum science based technology and strengthening research collaborations with world leading scientists.",The Australian National University,"$432,000 ",3
Australian Capital Territory,Dr George Olah,"This project aims to analyse the illegal parrot trade by utilising conservation genomic approaches. The project will reveal wildlife trade routes in South-east Asia by developing cutting-edge forensic genomic techniques and criminological methods. Expected outcomes of this project include new field-deployable sequencing technology to provide in-situ genetic information for identifying the taxonomy and provenance of confiscated specimens, and a first ever genetic database of traded wildlife. The project will facilitate important countermeasures to the illegal wildlife trade including confiscation, reintroduction, improved law enforcement, and education for better biodiversity outcomes in our region.",The Australian National University,"$440,954 ",3
Australian Capital Territory,Dr Mitzy Pepper,"This project aims to locate hotspots of diversity in Australia’s vast, flat deserts and to quantify how well these areas are captured under the National Reserve System. I will establish a network of international and national collaborators and improve knowledge on how animals responded to past environmental change. The anticipated outcome of this project is to improve our ability to understand, measure and preserve our unique desert biodiversity and the evolutionary processes that sustain it, using our remarkably diverse reptile fauna as a model system. In the face of current, rapid environmental change, this has never been more important, and will provide a tool for biodiversity survival.",The Australian National University,"$432,469 ",3
