﻿Entity,Scholarly Output,Field-Weighted Citation Impact,Citation Count,h-index,Output in Top 10% Citation Percentiles (field-weighted),Publications in Top 10% Journal Percentiles by CiteScore Percentile,International Collaboration (%),Output in Top 10% Citation Percentiles (%),Output in Top 10% Views Percentiles (%),Output in Top 5% Citation Percentiles,Publications in Top 1% Journal Percentiles by CiteScore Percentile
"Anderson, Joel R.",69,2.32,1081,19,23,24,50.7,24.6,44.9,8,6
"Arnatkevic̆iūtė, Aurina",36,2.23,1145,15,13,27,58.3,47.2,27.8,10,2
"Bulley, Adam",30,1.32,584,15,7,16,70,23.3,26.7,2,1
"Burns, Emma C.",33,2.16,313,11,10,20,18.2,15.2,21.2,1,7
"Chapman, Cassandra M.",31,2.41,395,12,12,18,38.7,29,35.5,5,6
"Deschrijver, Eliane",22,1.79,480,12,5,13,54.6,27.3,31.8,2,3
"Double, Kit S.",26,2.28,789,11,6,10,46.2,26.9,50,5,2
"Feuerriegel, Daniel",37,1.2,388,11,3,22,43.2,16.2,8.1,3,0
"Fiveash, Anna",17,2.15,233,10,4,8,76.5,17.6,41.2,2,1
"Grainger, Sarah A.",41,1.54,539,12,8,20,19.5,26.8,19.5,5,3
"Grootswagers, Tijl",28,1.33,606,11,3,16,39.3,17.9,14.3,2,1
"Guo, Jiesi",70,3.8,2720,26,38,61,81.4,47.1,55.7,19,21
"Hameau, Solène",14,0.69,50,5,0,10,71.4,0,21.4,0,0
"Hamel, Raphaël",15,0.29,63,5,0,11,6.7,0,6.7,0,1
"Harris, Anthony M.",15,1.23,272,9,0,8,46.7,6.7,6.7,0,1
"Hendrikse, Joshua J.",17,1.95,805,7,3,8,29.4,35.3,41.2,4,5
"Hoffman, Joel",14,0.88,115,4,0,5,50,21.4,14.3,0,0
"Jack, Bradley N.",28,1.21,356,10,3,14,53.6,10.7,10.7,2,1
"Karimi-Rouzbahani, Hamid Reza",17,1.12,222,9,2,6,58.8,17.6,23.5,1,0
"Kendig, Michael D.",41,0.87,537,13,2,16,17.1,14.6,7.3,1,3
"Keogh, Rebecca",16,2.71,594,12,8,12,18.8,62.5,56.3,5,2
"Lay, Belinda P.p.",15,0.66,116,7,0,6,60,0,0,0,0
"Lee, Conrad C.y.",5,1.13,65,4,0,4,80,20,20,0,0
"Moore, Margaret Jane",21,1.67,130,8,6,6,52.4,23.8,0,1,1
"Noetel, Michael",37,3.91,914,17,18,25,64.9,45.9,86.5,13,10
"Opie, George M.",44,1.95,711,16,5,13,27.3,13.6,6.8,2,0
"Papalia, Nina L.",30,1.69,283,10,8,16,30,23.3,36.7,3,0
"Reichenbach, Alex",27,1.44,880,15,5,11,66.7,33.3,22.2,6,1
"Riordan, Benjamin C.",75,1.56,720,14,12,23,72,8,22.7,3,0
"Schweizer, Susanne",55,2.26,5867,20,13,36,72.7,36.4,45.5,11,6
"Sharman, Leah S.",18,1.5,211,8,4,2,22.2,27.8,44.4,2,0
"Stanley, Samantha K.",26,2.55,383,8,7,14,26.9,30.8,50,5,4
"Staton, Sally L.",45,1.08,384,10,5,15,33.3,15.6,13.3,2,3
"Strickland, Luke",22,2.03,308,7,8,14,31.8,31.8,13.6,2,2
"Todd, Jemma",40,1.41,752,14,6,23,30,20,35,3,4
"Tran, Dominic M.d.",17,0.9,230,7,1,11,17.7,11.8,11.8,1,1
"Wolkow, Alexander Powell",31,1.09,520,15,3,13,16.1,12.9,38.7,1,0
